Approved Symbol	Entrez Gene ID
MAGI1	9223
BAIAP2	10458
BAIAP3	8938
BAK1	578
BAP1	8314
NKX3-2	579
BARD1	580
BARHL1	56751
BARHL2	343472
BARX1	56033
BARX2	8538
BASP1	10409
BATF	10538
BAX	581
BAZ1A	11177
BAZ1B	9031
BAZ2A	11176
BAZ2B	29994
BBOX1	8424
BBS~withdrawn	
BBS1	582
BBS2	583
BBS3~withdrawn	
BBS4	585
BBS5	129880
BCAR1	9564
BCAR2~withdrawn	
BCAR3	8412
BCAS1	8537
BCAS2	10286
BCAT1	586
BCAT2	587
BCCIP	56647
BCD1~withdrawn	
BCEI~withdrawn	
BCGF1~withdrawn	
BCH~withdrawn	
BCHE	590
BCHEL1~withdrawn	
BCHEL3~withdrawn	
BCKDHA	593
BCKDHB	594
BCL1~withdrawn	
BCL10	8915
BCL2	596
BCL2A1	597
BCL2L1	598
BCL2L10	10017
BCL2L11	10018
BCL2L2	599
BAK1P1	600
BAK1P2	601
BCL3	602
BCL4~withdrawn	
BCL5	
BCL6	604
BCL6B	255877
BCL7~withdrawn	
BCL7A	605
BCL7B	9275
BCL7C	9274
NBEAP1	606
BCL9	607
BCMA~withdrawn	
BCNG1~withdrawn	
BCNG2~withdrawn	
OPN1SW	611
BCPM~withdrawn	
BCR	613
BCRP2	400892
BCRP3	644165
BCRP4	616
BCRP5	648980
BCRL6~withdrawn	
BCS1L	617
BCUR1~withdrawn	
BCYRN1	618
BCYRN1P1	619
BCYRN1P2	620
BDB~withdrawn	
BDB1~withdrawn	
BDH1	622
BDK~withdrawn	
BDKRB1	
BDKRB2	
BDM~withdrawn	
BDMR	
BDNF	627
BECN1	8678
BEVI~withdrawn	
BEX1	55859
CFB	629
BFD~withdrawn	
BFLS~withdrawn	
BFSP1	631
BFSP2	8419
BFT~withdrawn	
BGLAP	632
BGN	633
BGP~withdrawn	
BHLHE40	8553
BHMT	635
BHMT2	23743
BICD1	636
BID	
BIK	638
BIN1	274
BIN2	51411
BIN3	55909
BLCAP	10904
BLIMP1~withdrawn	
BLK	640
BLM	641
BLMH	642
CXCR5	643
BLVR~withdrawn	
BLVRA	644
BLVRB	645
BLYM~withdrawn	
BLZF1	8548
BMI1	648
BMP1	649
BMP15	9210
BMP2	650
BMP3	651
BMP4	652
BMP5	653
BMP6	654
BMP7	655
BMP8B	656
BMPR1A	657
BMPR1B	658
BMPR2	659
BMX	660
POLR3D	661
BNC1	646
BNIP1	662
BNIP2	663
BNIP3	664
BNIP3L	665
BNSP~withdrawn	
BOK	666
BOR~withdrawn	
BORJ~withdrawn	
DST	667
BPAG2~withdrawn	
FOXL2	668
BPGM	669
BPHL	670
BPI	671
BPNT1	10380
BRAF	673
BRAFPS1~withdrawn	
BRAP	8315
BRCA1	672
BRCA2	675
BRD1	23774
BRD2	6046
BRD3	8019
BRDT	676
BRE	9577
ZFP36L1	677
ZFP36L2	678
BRI3	25798
BRIC~withdrawn	
BRN3B~withdrawn	
NCAPH	23397
BRS3	680
BSCL~withdrawn	
BSEP~withdrawn	
BSG	682
BSN	8927
BST1	683
BST2	684
BTBD1	53339
BTC	685
BTD	686
KLF9	687
BTEB2~withdrawn	
BTF3	689
BTF3P11	690
BTF3P12	652963
BTF3P13	132556
BTF3P1	693
BTG1	694
BTG2	7832
BTG3	10950
BTK	695
BTN~withdrawn	
BTN1A1	696
BTN2A1	11120
BTN2A2	10385
BTN3A1	
BTN3A2	11118
BTN3A3	10384
BTNL2	56244
BTNL3	10917
BTRC	8945
FBXW11P1	54099
BTS~withdrawn	
BTS1	698
BUB1	699
BUB1B	701
BUB1L~withdrawn	
BUB3	9184
BVES	11149
BVR1	
BWS~withdrawn	
BWSCR1A~withdrawn	
BWSCR1B~withdrawn	
BYSL	705
TSPO	706
BZS~withdrawn	
C10orf2	56652
CEP55	55165
FRA10AC1	118924
C11orf1	64776
TMEM258	746
DAGLA	747
RASSF7	8045
NRIP3	56675
TMEM9B	56674
C11orf16	56673
AKIP1	56672
ELP4	26610
VPS51	738
PPP6R3	55291
C11orf24	53838
C11orf3~withdrawn	
MRPL49	740
ZNHIT2	741
C11orf7~withdrawn	
MPPED2	744
MYRF	745
C12orf1~withdrawn	
ANO2	57101
C12orf4	57102
C12orf5	57103
PARP11	57097
C14orf1	11161
C14orf2	9556
AHSA1	10598
NPAP1	23742
EID1	23741
MRPL46	26589
LINC00597	81698
C15orf6~withdrawn	
C16orf1~withdrawn	
C16orf2~withdrawn	
C16orf3	750
C16orf4~withdrawn	
C16orf6~withdrawn	
C17orf1~withdrawn	
C17orf10~withdrawn	
C17orf11~withdrawn	
C17orf12~withdrawn	
C17orf13~withdrawn	
C17orf14~withdrawn	
C17orf15~withdrawn	
C17orf16~withdrawn	
C17orf17~withdrawn	
C17orf18~withdrawn	
C17orf19~withdrawn	
FBXW10	10517
FMNL1	752
C17orf2~withdrawn	
C17orf20~withdrawn	
C17orf21~withdrawn	
C17orf22~withdrawn	
CCDC90AP1	53383
C17orf4~withdrawn	
C17orf5~withdrawn	
SMG6-IT1	53400
C17orf7~withdrawn	
C17orf8~withdrawn	
C17orf9~withdrawn	
LDLRAD4	753
LINC00470	56651
GIPC1	10755
C1HR	
SERPING1	710
ERC2-IT1	711
CRNN	49860
C1orf11~withdrawn	
EGLN1	54583
FAM189B	10712
C1orf3~withdrawn	
C1orf4~withdrawn	
C1orf5~withdrawn	
UBQLN4	56893
C1orf7~withdrawn	
TMEM59	9528
SUCO	51430
C1QA	712
C1QB	713
C1QBP	708
C1QBPP	54098
C1QC	714
C1R	715
C1S	716
C2	717
TPX2	22974
C20orf2~withdrawn	
C21orf1~withdrawn	
C21orf10~withdrawn	
FAM3B	54097
C21orf12~withdrawn	
LCA5L	150082
C21orf14~withdrawn	
C21orf15~withdrawn	
SETD4	54093
C21orf19~withdrawn	
C21orf2	755
NCRNA00098~withdrawn	
LINC00111	54090
LINC00112	54089
LINC00113	54088
LINC00114	400866
C2CD2	25966
C21orf27~withdrawn	
TSPEAR	54084
C21orf3~withdrawn	
LRRC3DN	54083
TSPEAR-AS1	54082
C21orf32~withdrawn	
C21orf33	8209
LINC00478	388815
C21orf35~withdrawn	
C21orf37	100505929
C21orf38~withdrawn	
CHODL-AS1	54075
TMEM50B	757
C21orf40~withdrawn	
GRIK1-AS2	100379661
LINC00158	54072
C21orf43~withdrawn	
LINC00159	
MIS18A	54069
C21orf46~withdrawn	
C21orf48~withdrawn	
C21orf49	54067
DOPEY2	9980
C21orf50~withdrawn	
SMIM11	54065
LINC00160	54064
C21orf53~withdrawn	
C21orf54	728409
DNAJC28	54943
SPATC1L	84221
YBEY	54059
C21orf58	54058
C21orf59	56683
RWDD2B	10069
C21orf60~withdrawn	
MRAP	56246
C21orf62	56245
MPPED1	758
CBY1	25776
RHBDD3	25807
TBC1D22A	25771
TMEM184B	25829
C22orf6~withdrawn	
TTLL1	25809
FAM118A	55007
KIAA0930	23313
C2orf1~withdrawn	
EML4	27436
GCFC2	6936
C3	718
C3AR1	719
C3CER1	23739
TIMMDC1	51300
CLDND1	56650
C4A	720
C4B	721
C4BPA	722
C4BPAP1	727859
C4BPAP2	724
C4BPB	725
SLC30A9	10463
MYOZ2	51778
C5	727
OFD1P17	23738
FAM114A2	10827
FAXDC2	10826
FAM13B	
FAM53C	51307
KDM3B	51780
C5AR1	728
C6	729
C6orf1	221491
C6orf2~withdrawn	
TRAF3IP2-AS2~withdrawn	
TRAF3IP2	10758
C6orf5~withdrawn	
C6orf6~withdrawn	
C7	730
C7orf1~withdrawn	
SAMD9	54809
SAMD9L	219285
ASZ1	136991
C7orf8~withdrawn	
C8A	731
C8B	732
C8G	733
OSGIN2	734
ERLIN2	11160
C8orf4	56892
C9	735
EQTN	54586
C9orf2~withdrawn	
C9orf3	84909
FRRS1L	23732
TMEM245	23731
