connector	count
ACP5_NFATC1	1
HLF_ANKS1B	1
SOD1_TLN2	1
DRD3_ANKK1	1
IL13_PPARG	1
RHPN1_ROPN1B	1
LGALS1_TP53	1
SLC39A1_SLC39A3	3
IL12A_THBS1	1
SLC39A1_SLC39A2	3
LRP1_GTPBP1	1
DEFB4A_IL17A	2
RB1_TMPO	1
ZNF148_PTRF	1
CRYBA1_CRYBB2P1	1
TREX2_TREX1	3
NR3C1_HOXB1	1
TP53_RYBP	1
SLC19A1_SLC19A2	2
CEBPB_SAA1	1
RGS13_RGS17	1
WNT3_FZD7	1
RGS13_RGS19	1
RGS13_RGS18	1
CEBPB_SAA4	1
SFPQ_SRSF11	1
RGS13_RGS14	1
ORAI1_ORAI3	8
GTF2B_SP3	1
RGS13_RGS20	1
CHEK1_FBXO6	1
LEPR_ADIPOQ	12
ORC2_DBF4	2
WNT3_FZD1	2
JAG1_NOTCH4	2
RDH5_RDH14	1
RDH5_RDH13	1
JAG1_NOTCH2	7
JAG1_NOTCH3	10
WNT3_FZD5	1
CSPG4_PRKCA	3
SMARCA4_ARID1B	3
SMARCA4_ARID1A	4
JAG1_NOTCH1	17
RDH5_RDH12	1
RDH5_RDH11	1
HK1_VDAC1	4
KDR_MAPK1	2
HK1_VDAC2	1
KDR_MAPK3	1
ENDOG_AIFM1	3
ENDOG_AIFM2	1
RRAD_TACR1	1
IL1RN_KLF2	1
PIN1_PCIF1	1
IRF3_PPARG	1
NFKB2_EIF2AK2	2
MAPK9_PDCD6IP	1
MIR133A1_MIR133A2	1
RUNX2_DIXDC1	1
PSMC2_ATXN7	1
PFKFB1_PRKACA	1
CD2AP_SNX18	1
PFKFB1_PRKACB	1
PFKFB1_PRKACG	1
CASP4_PSEN2	1
HCK_JAK2	4
HCK_JAK1	4
TBK1_TICAM1	3
UBC_TOM1	1
GLI1_SAP18	1
SERPINE1_VEGFA	7
GRIN2C_CRIPT	1
PPARG_CRTAP	1
AKT2_TWIST1	1
CASP4_PSEN1	2
SHMT1_TYMS	15
STAT3_SOCS7	1
GSTT1_RFC1	1
STAT3_SOCS6	1
CIITA_RFXANK	3
RGS13_RGS11	1
EVC_EVC2	6
APOA4_PECAM1	1
PRKAR1B_PRKAG2	3
STAT3_SOCS2	1
NFKB1_GDF15	1
PLCB2_TRPM7	1
HNF1A_COPS5	1
PPP2R3A_PKN1	1
ELAVL1_KPNA2	1
PRKCB_TYRP1	1
AKT1_FN1	1
ELAVL1_KPNA1	1
DLG4_KCNA5	2
CDH2_CTNNBL1	1
PPBP_SELP	1
SNRPE_YWHAH	1
HNRNPL_WNK2	1
ITGB1_PRKD1	1
ESR1_SMARCA2	1
LPAR2_SIVA1	2
FNBP1_DNM3	1
ESR1_SMARCA4	4
ANXA2_UBC	1
IRAK1_SDCBP	1
FGF18_FGFRL1	1
FYN_LBR	1
ITGB1_PRKCE	2
ITGB1_PRKCD	3
SH3KBP1_AMOT	1
ABCG2_SLC17A3	3
ITGB1_PRKCA	3
CD9_MAP1B	1
DLG4_KCNA4	11
ELAVL1_KPNB1	2
DLG4_KCNA3	4
PTPN21_PTPN5	1
ARVCF_TJP1	1
DLG4_KCNA2	3
DLG4_KCNA1	3
NFKB1_MAP2K4	1
NFKB1_MAP2K7	1
NELL1_SLC17A6	1
MMP9_THBS1	6
NFKB1_MAP2K1	3
MMP9_THBS2	2
CDK7_XRCC4	1
HLA-F_AP1M1	2
NFKB1_MAP2K3	1
NFKB1_MAP2K2	4
OPRM1_PPL	1
ARID1B_ARID2	1
YWHAE_RIN1	2
CDK1_SNRPE	1
AKT1_FOS	1
RPH3AL_UNC13B	1
BMP2_CREB1	1
ACTA1_TP53	1
DLG4_KCND2	1
SYNM_KRT23	1
KLF9_DIO1	1
MAPK1_PTK2	11
FURIN_PPARA	1
ITIH2_SPINT2	1
CDK5_PTPN2	1
ALDOC_ALDOAP1	1
GPR15_CCR2	2
CDKN2A_TUBG1	1
C4A_CST3	1
FYN_LCK	56
ESRRA_HNF4A	1
ESR1_SMARCB1	1
CCR5_LYN	1
LILRP2_KIR3DL3	1
TP53_ANTXR1	1
POM121L8P_MEF2B	1
IGKJ3_IGKJ1	3
IGKJ3_IGKJ2	3
EIF5AP2_EIF5AL1	2
NTRK3_SRC	1
COMT_HTR2A	19
HOXB2_HOXD4	1
TFAM_TP53	1
HOXB2_HOXD3	1
COMT_HTR2C	4
HOXB2_HOXD1	1
HOXB2_HOXD8	1
COMT_GAD1	1
MAPK3_MAP2K2	28
MAPK3_MAP2K3	1
MAPK3_MAP2K4	2
MARK1_MARK3	1
MAPK3_MAP2K6	1
MARK1_MARK4	2
MAPK3_MAP2K7	1
ISL1_PAX4	1
DRD3_RGS19	1
GNB3_CCR2	1
ATXN7_SORBS1	1
MAPK3_MAP2K1	41
E2F4_MAD2L1	1
LIPC_PLTP	2
GSN_CLIC5	1
GSN_CLIC4	1
MYH7_PFKL	1
COMT_HTR1B	2
COMT_HTR1A	7
NFKB1_PDPK1	2
ZC3HAV1_PARP12	1
DOCK3_SLC9A9	2
APOE_ATXN2	1
ESR1_PRKCA	1
FGB_IL10RA	1
HNRNPU_LYN	1
IRS1_VEGFA	1
CD40LG_TSLP	2
ESR1_PRKCD	1
HRAS_IGF1	1
PC_PROS1	1
CTSC_HSPA8	1
HOXB2_HOXB9	1
MAPK14_KRT8	3
HOXB2_HOXB8	1
ESR1_PRKCQ	1
HOXB2_HOXB7	1
HSPG2_CD93	1
HOXB2_HOXB6	3
HOXB2_HOXB5	1
HOXB2_HOXB4	1
HOXB2_HOXB3	4
HCRT_IGFBP3	1
NAP1L4_SET	1
FYN_SOS1	1
SYT1_STON2	2
SYT1_STON1	2
IL10_MRC1	1
IL10_MRC2	1
CRYGGP_CRYGS	1
SMAD1_FOXH1	2
HOXB2_HOXC5	1
RET_MAPK15	1
FN1_TWIST1	1
HNRNPA1P48_HNRNPA1P33	1
PEG10_ZCCHC5	1
HTR2A_SLC7A5	1
CNTN2_TDP2	1
NFYA_POU2F1	2
NEK2_CNTROB	1
FCAR_FCGR1A	2
ENPP1_TGFB1	2
FOXO3_YWHAB	1
AKT1_ICAM1	2
MAGEA3_TYR	2
MMP1_PLAUR	1
SMAD4_TFE3	2
EGR1_GNAQ	2
ADH5_SP4	1
AKT1_ICAM3	1
CEBPA_RFC4	1
ADH5_SP3	1
CEBPA_RFC1	1
CDKN2A_SDC1	1
CCKBR_SOAT1	1
GGT1_TNF	1
CBS_UBE2I	1
BAG1_SIAH1	1
TNFRSF17_TNFSF13B	8
TRPC3_VCAM1	1
MAPK1_TNFRSF25	1
RTP3_RTP2	3
KCNMA1_MAP1A	1
RTP3_RTP1	3
DRD2_NGFR	1
GPX1_HP	1
TMED2_PSENEN	1
EEF1G_VARS	1
TRO_TROAP	3
LST1_KLRK1	1
TMLHE_PHF10	1
APP_SST	1
FURIN_NAGPA	1
RXRA_RXRB	20
IGF1_RETN	1
HNRNPA1P48_HNRNPA1P10	1
NFE2_NRF1	1
RXRA_RXRG	9
MAPK1_TNFRSF1A	1
ITGB3_MTR	1
BCL2_ZBTB17	1
LAMC1_PTPRF	1
CREB1_JUN	8
PCNA_POLB	4
PCNA_POLE	2
PCNA_POLK	1
PCNA_POLH	8
PCNA_POLI	3
NFKB1_MIRLET7A1	1
PCNA_POLL	6
AMPD1_ATIC	3
PRKAB1_ADIPOQ	1
PCNA_POLM	1
PLK1_MLF1IP	1
AGFG1_EPN2	1
STK25_PDCD10	1
NFKB1_NAMPT	1
TP53_TSPYL2	1
PDIA3_SLC2A1	1
TNPO1_CCL4	1
CETN2_TUBG2	1
FUS_SRSF10	2
CETN2_TUBG1	2
MAPK14_MAPKAPK2	10
ITGA3_RABIF	1
NPHP1_AHI1	3
MAPK14_MAPKAPK3	2
RABGAP1L_RAB3GAP1	1
MAPK14_MAPKAPK5	2
DLG4_KCNJ4	3
UBB_USP7	2
DLG4_KCNJ2	1
UBB_USP1	2
DCTN1_KIF11	2
UBB_USP2	1
ADA_TGFBRAP1	1
DAZ1_DDX3Y	1
TP53_RBCK1	1
CAV1_ETV4	1
HDAC1_TRRAP	1
GHRH_SST	2
C5AR1_GNB2	1
SLC9A3R1_GOPC	2
CDK2_MTOR	1
C5AR1_GNB1	1
ITGA5_RABIF	1
ITGAV_NME1	1
AKT1_FAS	2
PRKCQ_STAT4	1
SPP1_DHRS3	1
NONO_MATR3	1
FCER1A_TNF	1
ADSL_PFAS	1
CTNND1_IL2RG	1
IFNG_NFKBIZ	1
IL6_PTPRC	1
BMPR1B_BMPR1APS1	1
KPNA1_NLRP1	1
GATA3_SPIB	1
ISL1_NR2F1	1
KPNA1_NLRP3	1
ACTG1_VIL1	2
VIM_WBP11	1
LGALS2_PSMA6	1
APOD_APOL1	1
CA9_CSF1	1
UBA52_POLI	1
IL6_PIK3CG	2
SEPT2_EXOC5	1
SEPT2_EXOC4	2
RAD51D_XRCC3	5
CASP6_FADD	1
SEPT2_EXOC3	1
PDE7A_PDE8A	1
RAD51D_XRCC2	11
SEPT2_EXOC2	1
TAS2R3_TAS2R5	1
TAS2R3_TAS2R4	2
SEPT2_EXOC8	1
CTNNB1_PTPRZ1	1
KRR1_PBXIP1	1
FOXD1_PRKCB	1
SEPT2_EXOC1	1
CALM1_GJB1	1
MYCN_TGFBI	1
MKI67_RARB	1
ITGB1_F11R	2
GCC2_STUB1	1
HTR2A_MAOA	15
HTR2A_MAOB	2
CTSK_TCIRG1	1
ONECUT2_ONECUT3	1
MEF2C_SENP3	1
BAD_MIR16-1	1
PDGFRA_TYK2	1
AR_PCBP2	1
AR_PCBP1	1
CDC25A_TSC2	1
MAP3K5_RALBP1	1
PTGFR_SELP	1
TRPC6_TRPV6	1
DCTN1_BICD2	5
ADRA1B_BMP1	1
FAS_EGFR	5
TRPC6_TRPV1	1
RAB11FIP3_TOMM34	1
CCND1_ACE	1
IRAK1_SIGIRR	1
TRPC6_TRPV5	1
ZNHIT2_C11orf1	1
DRD2_IL6	1
TRPC6_TRPV2	1
NQO1_SPINK1	1
NOTCH2_HEY1	1
PKIA_PKIG	1
NOTCH2_HEY2	2
TAS2R43_RTP2	1
MAP3K1_TRAF7	1
MAP3K1_TRAF6	4
UMOD_UBE2J1	1
CALCA_CALCR	3
CYP2E1_CYP17A1	1
NFIA_SLC34A2	1
P2RX1_MYLK2	1
CALCA_CALCP	1
MAP3K1_TRAF2	4
COPB2_COPE	6
IL5_TGFB1	3
CSF2_ABCB1	1
COL13A1_ITGA1	1
IGHV4-39_IGHV4-31	1
CYP1A1_ERCC2	8
ATXN3_ATXN8OS	2
CYP1A1_ERCC1	1
CYP1A1_ERCC4	1
CALCA_CALCB	5
MAP3K8_MAP3K14	4
IL2RA_IL10RA	1
IL2RA_IL10RB	2
CUL4B_CAND1	1
